District,School DBN,School Name,School Year,Attendence Rate,Absense Rate
2,02M104,J.H.S. 104 Simon Baruch ,2016,0.960969778,0.039030222
2,02M104,J.H.S. 104 Simon Baruch ,2017,0.959409159,0.040590841
2,02M104,J.H.S. 104 Simon Baruch ,2018,0.962373294,0.037626706
2,02M104,J.H.S. 104 Simon Baruch ,2019,0.964573691,0.035385992
2,02M104,J.H.S. 104 Simon Baruch ,2020,0.964137486,0.035791803
2,02M104,J.H.S. 104 Simon Baruch ,2021,0.959756513,0.038429428
2,02M114,East Side Middle School ,2016,0.972758489,0.027241511
2,02M114,East Side Middle School ,2017,0.973722028,0.026277972
2,02M114,East Side Middle School ,2018,0.975813522,0.024186478
2,02M114,East Side Middle School ,2019,0.973781135,0.026218865
2,02M114,East Side Middle School ,2020,0.972782403,0.027217597
2,02M114,East Side Middle School ,2021,0.980938116,0.019061884
2,02M126,Manhattan Academy of Technology/Jacob Riis ,2016,0.969351121,0.030648879
2,02M126,Manhattan Academy of Technology/Jacob Riis ,2017,0.963199977,0.036800023
2,02M126,Manhattan Academy of Technology/Jacob Riis ,2018,0.96617011,0.03382989
2,02M126,Manhattan Academy of Technology/Jacob Riis ,2019,0.967312097,0.031841995
2,02M126,Manhattan Academy of Technology/Jacob Riis ,2020,0.967688473,0.032226394
2,02M126,Manhattan Academy of Technology/Jacob Riis ,2021,0.965079797,0.034920203
2,02M131,Sun Yat Sen Middle School ,2016,0.971490223,0.028509777
2,02M131,Sun Yat Sen Middle School ,2017,0.975054,0.024946
2,02M131,Sun Yat Sen Middle School ,2018,0.975636014,0.024363986
2,02M131,Sun Yat Sen Middle School ,2019,0.972798833,0.026908488
2,02M131,Sun Yat Sen Middle School ,2020,0.965376145,0.0344565
2,02M131,Sun Yat Sen Middle School ,2021,0.91466581,0.08533419
2,02M167,J.H.S. 167 Robert F. Wagner ,2016,0.958382888,0.041617112
2,02M167,J.H.S. 167 Robert F. Wagner ,2017,0.959482733,0.040517267
2,02M167,J.H.S. 167 Robert F. Wagner ,2018,0.960763525,0.039236475
2,02M167,J.H.S. 167 Robert F. Wagner ,2019,0.9586147,0.041013201
2,02M167,J.H.S. 167 Robert F. Wagner ,2020,0.957390968,0.042447857
2,02M167,J.H.S. 167 Robert F. Wagner ,2021,0.93157787,0.068350241
2,02M177,Yorkville East Middle School ,2016,0.956938767,0.043061233
2,02M177,Yorkville East Middle School ,2017,0.952558215,0.047441785
2,02M177,Yorkville East Middle School ,2018,0.952913563,0.047086437
2,02M177,Yorkville East Middle School ,2019,0.949434719,0.049789234
2,02M177,Yorkville East Middle School ,2020,0.9609882,0.038705003
2,02M177,Yorkville East Middle School ,2021,0.957491914,0.042508086
2,02M217,P.S./I.S. 217 Roosevelt Island ,2016,0.950973338,0.049026662
2,02M217,P.S./I.S. 217 Roosevelt Island ,2017,0.947188635,0.052811365
2,02M217,P.S./I.S. 217 Roosevelt Island ,2018,0.950328935,0.049671065
2,02M217,P.S./I.S. 217 Roosevelt Island ,2019,0.950205035,0.049794965
2,02M217,P.S./I.S. 217 Roosevelt Island ,2020,0.957159406,0.041768051
2,02M217,P.S./I.S. 217 Roosevelt Island ,2021,0.959698162,0.040301838
2,02M225,Ella Baker School ,2016,0.930186327,0.069813673
2,02M225,Ella Baker School ,2017,0.932662568,0.067337432
2,02M225,Ella Baker School ,2018,0.932537166,0.067462834
2,02M225,Ella Baker School ,2019,0.931593241,0.068406759
2,02M225,Ella Baker School ,2020,0.934260363,0.065739637
2,02M225,Ella Baker School ,2021,0.951987124,0.048012876
2,02M255,M.S. 255 Salk School of Science ,2016,0.971022507,0.028977493
2,02M255,M.S. 255 Salk School of Science ,2017,0.969328999,0.030671001
2,02M255,M.S. 255 Salk School of Science ,2018,0.971639754,0.028360246
2,02M255,M.S. 255 Salk School of Science ,2019,0.971984542,0.027915681
2,02M255,M.S. 255 Salk School of Science ,2020,0.968698602,0.031301398
2,02M255,M.S. 255 Salk School of Science ,2021,0.981221061,0.018778939
2,02M260,The Clinton School ,2016,0.966646868,0.033353132
2,02M260,The Clinton School ,2017,0.969807605,0.030192395
2,02M260,The Clinton School ,2018,0.963899058,0.036100942
2,02M260,The Clinton School ,2019,0.924914401,0.038556173
2,02M260,The Clinton School ,2020,0.936768952,0.040633799
2,02M260,The Clinton School ,2021,0.94095779,0.053258772
2,02M276,Battery Park City School ,2016,0.956601309,0.043398691
2,02M276,Battery Park City School ,2017,0.954583498,0.045416502
2,02M276,Battery Park City School ,2018,0.955956611,0.044043389
2,02M276,Battery Park City School ,2019,0.95471127,0.045170179
2,02M276,Battery Park City School ,2020,0.957296954,0.042134299
2,02M276,Battery Park City School ,2021,0.976762923,0.023237077
2,02M289,Hudson River Middle School ,2016,0.974158183,0.025841817
2,02M289,Hudson River Middle School ,2017,0.971444784,0.028555216
2,02M289,Hudson River Middle School ,2018,0.966598664,0.033401336
2,02M289,Hudson River Middle School ,2019,0.969225639,0.03075458
2,02M289,Hudson River Middle School ,2020,0.96977143,0.030133708
2,02M289,Hudson River Middle School ,2021,0.974748226,0.025251774
2,02M297,M.S. 297 ,2018,0.956340167,0.043659833
2,02M297,M.S. 297 ,2019,0.942447326,0.057202406
2,02M297,M.S. 297 ,2020,0.939279521,0.060720479
2,02M297,M.S. 297 ,2021,0.925126055,0.074873945
2,02M312,New York City Lab Middle School for Collaborative Studies ,2016,0.978671125,0.021328875
2,02M312,New York City Lab Middle School for Collaborative Studies ,2017,0.980247951,0.019752049
2,02M312,New York City Lab Middle School for Collaborative Studies ,2018,0.979682346,0.020317654
2,02M312,New York City Lab Middle School for Collaborative Studies ,2019,0.981697577,0.01788332
2,02M312,New York City Lab Middle School for Collaborative Studies ,2020,0.978928228,0.021028439
2,02M312,New York City Lab Middle School for Collaborative Studies ,2021,0.984996789,0.015003211
2,02M347,The 47 American Sign Language & English Lower School ,2016,0.912995725,0.087004275
2,02M347,The 47 American Sign Language & English Lower School ,2017,0.919387154,0.080612846
2,02M347,The 47 American Sign Language & English Lower School ,2018,0.913823905,0.086176095
2,02M347,The 47 American Sign Language & English Lower School ,2019,0.903849885,0.096150115
2,02M347,The 47 American Sign Language & English Lower School ,2020,0.902493654,0.097506346
2,02M347,The 47 American Sign Language & English Lower School ,2021,0.883261068,0.116738932
2,02M397,Spruce Street School ,2016,0.955624697,0.044375303
2,02M397,Spruce Street School ,2017,0.956536309,0.043463691
2,02M397,Spruce Street School ,2018,0.953247832,0.046752168
2,02M397,Spruce Street School ,2019,0.950141614,0.049717359
2,02M397,Spruce Street School ,2020,0.947471579,0.052528421
2,02M397,Spruce Street School ,2021,0.952734326,0.047265674
2,02M407,Institute for Collaborative Education ,2016,0.937867016,0.062132984
2,02M407,Institute for Collaborative Education ,2017,0.937798625,0.062201375
2,02M407,Institute for Collaborative Education ,2018,0.937421267,0.062578733
2,02M407,Institute for Collaborative Education ,2019,0.908728343,0.062337049
2,02M407,Institute for Collaborative Education ,2020,0.919096063,0.061257714
2,02M407,Institute for Collaborative Education ,2021,0.951213958,0.048786042
2,02M408,Professional Performing Arts School ,2016,0.940903541,0.059096459
2,02M408,Professional Performing Arts School ,2017,0.935403685,0.064596315
2,02M408,Professional Performing Arts School ,2018,0.928633687,0.071366313
2,02M408,Professional Performing Arts School ,2019,0.899486036,0.06019783
2,02M408,Professional Performing Arts School ,2020,0.894483053,0.077326129
2,02M408,Professional Performing Arts School ,2021,0.947298669,0.033565748
2,02M413,School of the Future Middle and High School ,2016,0.952627813,0.047372187
2,02M413,School of the Future Middle and High School ,2017,0.948779807,0.051220193
2,02M413,School of the Future Middle and High School ,2018,0.948574446,0.051425554
2,02M413,School of the Future Middle and High School ,2019,0.935605,0.043305987
2,02M413,School of the Future Middle and High School ,2020,0.953345029,0.046373105
2,02M413,School of the Future Middle and High School ,2021,0.935987096,0.063653598
2,02M422,Quest to Learn ,2016,0.918486043,0.081513957
2,02M422,Quest to Learn ,2017,0.900300719,0.099699281
2,02M422,Quest to Learn ,2018,0.904729195,0.095270805
2,02M422,Quest to Learn ,2019,0.839229165,0.112624127
2,02M422,Quest to Learn ,2020,0.862423394,0.113824
2,02M422,Quest to Learn ,2021,0.869868038,0.110469663
2,02M442,"Ballet Tech, NYC Public School for Dance ",2016,0.967220426,0.032779574
2,02M442,"Ballet Tech, NYC Public School for Dance ",2017,0.961064489,0.038935511
2,02M442,"Ballet Tech, NYC Public School for Dance ",2018,0.965460268,0.034539732
2,02M442,"Ballet Tech, NYC Public School for Dance ",2019,0.966513958,0.033486042
2,02M442,"Ballet Tech, NYC Public School for Dance ",2020,0.957727748,0.042272252
2,02M442,"Ballet Tech, NYC Public School for Dance ",2021,0.979042482,0.020957518
2,02M896,Lower Manhattan Community Middle School ,2016,0.966572238,0.033427762
2,02M896,Lower Manhattan Community Middle School ,2017,0.966690782,0.033309218
2,02M896,Lower Manhattan Community Middle School ,2018,0.968257921,0.031742079
2,02M896,Lower Manhattan Community Middle School ,2019,0.966828084,0.033157324
2,02M896,Lower Manhattan Community Middle School ,2020,0.967224772,0.032752163
2,02M896,Lower Manhattan Community Middle School ,2021,0.977558009,0.022441991
2,02M933,City Knoll Middle School ,2016,0.936549204,0.063450796
2,02M933,City Knoll Middle School ,2017,0.935426029,0.064573971
2,02M933,City Knoll Middle School ,2018,0.909602201,0.090397799
2,02M933,City Knoll Middle School ,2019,0.913189258,0.086778821
2,02M933,City Knoll Middle School ,2020,0.903702207,0.096128398
2,02M933,City Knoll Middle School ,2021,0.799040947,0.200959053
10,10X003,P.S. 3 Raul Julia Micro Society ,2016,0.916601934,0.083398066
10,10X003,P.S. 3 Raul Julia Micro Society ,2017,0.910035012,0.089964988
10,10X003,P.S. 3 Raul Julia Micro Society ,2018,0.906994657,0.093005343
10,10X003,P.S. 3 Raul Julia Micro Society ,2019,0.917348364,0.081752139
10,10X003,P.S. 3 Raul Julia Micro Society ,2020,0.916541323,0.081494848
10,10X003,P.S. 3 Raul Julia Micro Society ,2021,0.933981493,0.066018507
10,10X015,P.S. X015 Institute for Environmental Learning ,2016,0.952742091,0.047257909
10,10X015,P.S. X015 Institute for Environmental Learning ,2017,0.943442201,0.056557799
10,10X015,P.S. X015 Institute for Environmental Learning ,2018,0.944629926,0.055370074
10,10X015,P.S. X015 Institute for Environmental Learning ,2019,0.937091401,0.062884944
10,10X015,P.S. X015 Institute for Environmental Learning ,2020,0.942736162,0.057066098
10,10X015,P.S. X015 Institute for Environmental Learning ,2021,0.89278084,0.10721916
10,10X020,"PS/MS 20 P.O.George J. Werdann, III ",2016,0.925288293,0.074711707
10,10X020,"PS/MS 20 P.O.George J. Werdann, III ",2017,0.920354727,0.079645273
10,10X020,"PS/MS 20 P.O.George J. Werdann, III ",2018,0.910990857,0.089009143
10,10X020,"PS/MS 20 P.O.George J. Werdann, III ",2019,0.907082829,0.092154515
10,10X020,"PS/MS 20 P.O.George J. Werdann, III ",2020,0.923074134,0.076867981
10,10X020,"PS/MS 20 P.O.George J. Werdann, III ",2021,0.89616752,0.103825645
10,10X037,P.S. X037 - Multiple Intelligence School ,2016,0.924326483,0.075673517
10,10X037,P.S. X037 - Multiple Intelligence School ,2017,0.915213541,0.084786459
10,10X037,P.S. X037 - Multiple Intelligence School ,2018,0.900913262,0.099086738
10,10X037,P.S. X037 - Multiple Intelligence School ,2019,0.898588533,0.101384925
10,10X037,P.S. X037 - Multiple Intelligence School ,2020,0.913879723,0.086120277
10,10X037,P.S. X037 - Multiple Intelligence School ,2021,0.866483309,0.133506788
10,10X045,Thomas C. Giordano Middle School 45 ,2016,0.914393708,0.085606292
10,10X045,Thomas C. Giordano Middle School 45 ,2017,0.917223886,0.082776114
10,10X045,Thomas C. Giordano Middle School 45 ,2018,0.90525338,0.09474662
10,10X045,Thomas C. Giordano Middle School 45 ,2019,0.903568639,0.095985222
10,10X045,Thomas C. Giordano Middle School 45 ,2020,0.920929844,0.078874402
10,10X045,Thomas C. Giordano Middle School 45 ,2021,0.835158359,0.164691485
10,10X080,J.H.S. 080 The Mosholu Parkway ,2016,0.935842668,0.064157332
10,10X080,J.H.S. 080 The Mosholu Parkway ,2017,0.942102181,0.057897819
10,10X080,J.H.S. 080 The Mosholu Parkway ,2018,0.927923866,0.072076134
10,10X080,J.H.S. 080 The Mosholu Parkway ,2019,0.927655908,0.072055504
10,10X080,J.H.S. 080 The Mosholu Parkway ,2020,0.919989028,0.079740457
10,10X080,J.H.S. 080 The Mosholu Parkway ,2021,0.886659107,0.113340893
10,10X095,P.S. 095 Sheila Mencher ,2016,0.923674233,0.076325767
10,10X095,P.S. 095 Sheila Mencher ,2017,0.919160098,0.080839902
10,10X095,P.S. 095 Sheila Mencher ,2018,0.915657827,0.084342173
10,10X095,P.S. 095 Sheila Mencher ,2019,0.910906974,0.088929676
10,10X095,P.S. 095 Sheila Mencher ,2020,0.911067497,0.088856492
10,10X095,P.S. 095 Sheila Mencher ,2021,0.876077349,0.123917167
10,10X118,J.H.S. 118 William W. Niles ,2016,0.926953133,0.073046867
10,10X118,J.H.S. 118 William W. Niles ,2017,0.922556588,0.077443412
10,10X118,J.H.S. 118 William W. Niles ,2018,0.911485577,0.088514423
10,10X118,J.H.S. 118 William W. Niles ,2019,0.911766752,0.088008607
10,10X118,J.H.S. 118 William W. Niles ,2020,0.923434263,0.076540829
10,10X118,J.H.S. 118 William W. Niles ,2021,0.869516848,0.130483152
10,10X141,Riverdale / Kingsbridge Academy ,2016,0.935268766,0.064731234
10,10X141,Riverdale / Kingsbridge Academy ,2017,0.938299804,0.061700196
10,10X141,Riverdale / Kingsbridge Academy ,2018,0.938787029,0.061212971
10,10X141,Riverdale / Kingsbridge Academy ,2019,0.896498365,0.058868091
10,10X141,Riverdale / Kingsbridge Academy ,2020,0.926606376,0.056745679
10,10X141,Riverdale / Kingsbridge Academy ,2021,0.906272491,0.093712795
10,10X206,I.S. 206 Ann Mersereau ,2016,0.892450492,0.107549508
10,10X206,I.S. 206 Ann Mersereau ,2017,0.905002615,0.094997385
10,10X206,I.S. 206 Ann Mersereau ,2018,0.903433123,0.096566877
10,10X206,I.S. 206 Ann Mersereau ,2019,0.904465286,0.095534714
10,10X206,I.S. 206 Ann Mersereau ,2020,0.916094489,0.083905511
10,10X206,I.S. 206 Ann Mersereau ,2021,0.910343465,0.089656535
10,10X225,Theatre Arts Production Company School ,2016,0.874261603,0.125738397
10,10X225,Theatre Arts Production Company School ,2017,0.875524462,0.124475538
10,10X225,Theatre Arts Production Company School ,2018,0.851926028,0.148073972
10,10X225,Theatre Arts Production Company School ,2019,0.831992793,0.122763197
10,10X225,Theatre Arts Production Company School ,2020,0.866622404,0.108726338
10,10X225,Theatre Arts Production Company School ,2021,0.809957877,0.190021153
10,10X228,Jonas Bronck Academy ,2016,0.981226881,0.018773119
10,10X228,Jonas Bronck Academy ,2017,0.98162825,0.01837175
10,10X228,Jonas Bronck Academy ,2018,0.983203485,0.016796515
10,10X228,Jonas Bronck Academy ,2019,0.980838921,0.018467983
10,10X228,Jonas Bronck Academy ,2020,0.977778687,0.021271925
10,10X228,Jonas Bronck Academy ,2021,0.987376508,0.012623492
10,10X243,West Bronx Academy for the Future ,2016,0.897642178,0.102357822
10,10X243,West Bronx Academy for the Future ,2017,0.882403158,0.117596842
10,10X243,West Bronx Academy for the Future ,2018,0.894240163,0.105759837
10,10X243,West Bronx Academy for the Future ,2019,0.862718395,0.098838258
10,10X243,West Bronx Academy for the Future ,2020,0.89243519,0.089122678
10,10X243,West Bronx Academy for the Future ,2021,0.901982389,0.09800854
10,10X244,The New School for Leadership and Journalism ,2016,0.934035226,0.065964774
10,10X244,The New School for Leadership and Journalism ,2017,0.926891939,0.073108061
10,10X244,The New School for Leadership and Journalism ,2018,0.929259991,0.070740009
10,10X244,The New School for Leadership and Journalism ,2019,0.924199027,0.075278738
10,10X244,The New School for Leadership and Journalism ,2020,0.935774017,0.063743809
10,10X244,The New School for Leadership and Journalism ,2021,0.937181687,0.062818313
10,10X254,I.S. 254 ,2016,0.915345487,0.084654513
10,10X254,I.S. 254 ,2017,0.912076484,0.087923516
10,10X254,I.S. 254 ,2018,0.905255919,0.094744081
10,10X254,I.S. 254 ,2019,0.915427197,0.084572803
10,10X254,I.S. 254 ,2020,0.927083401,0.072806333
10,10X254,I.S. 254 ,2021,0.925508419,0.074491581
10,10X279,"P.S. 279 Captain Manuel Rivera, Jr. ",2016,0.940690668,0.059309332
10,10X279,"P.S. 279 Captain Manuel Rivera, Jr. ",2017,0.937302445,0.062697555
10,10X279,"P.S. 279 Captain Manuel Rivera, Jr. ",2018,0.935707878,0.064292122
10,10X279,"P.S. 279 Captain Manuel Rivera, Jr. ",2019,0.935675163,0.064167009
10,10X279,"P.S. 279 Captain Manuel Rivera, Jr. ",2020,0.935443401,0.064547378
10,10X279,"P.S. 279 Captain Manuel Rivera, Jr. ",2021,0.955340311,0.044601373
10,10X280,P.S./M.S. 280 Mosholu Parkway ,2016,0.933391434,0.066608566
10,10X280,P.S./M.S. 280 Mosholu Parkway ,2017,0.924432686,0.075567314
10,10X280,P.S./M.S. 280 Mosholu Parkway ,2018,0.917266718,0.082733282
10,10X280,P.S./M.S. 280 Mosholu Parkway ,2019,0.918337728,0.081655232
10,10X280,P.S./M.S. 280 Mosholu Parkway ,2020,0.923258604,0.076741396
10,10X280,P.S./M.S. 280 Mosholu Parkway ,2021,0.870079738,0.129920262
10,10X308,Bronx Dance Academy School ,2016,0.939466032,0.060533968
10,10X308,Bronx Dance Academy School ,2017,0.931823386,0.068176614
10,10X308,Bronx Dance Academy School ,2018,0.931083072,0.068916928
10,10X308,Bronx Dance Academy School ,2019,0.927719961,0.072280039
10,10X308,Bronx Dance Academy School ,2020,0.927413717,0.072586283
10,10X308,Bronx Dance Academy School ,2021,0.885826164,0.114173836
10,10X315,P.S. 315 Lab School ,2016,0.945159976,0.054840024
10,10X315,P.S. 315 Lab School ,2017,0.934730276,0.065269724
10,10X315,P.S. 315 Lab School ,2018,0.922815888,0.077184112
10,10X315,P.S. 315 Lab School ,2019,0.925502853,0.074497147
10,10X315,P.S. 315 Lab School ,2020,0.938830106,0.061169894
10,10X315,P.S. 315 Lab School ,2021,0.913538393,0.086461607
10,10X331,The Bronx School of Young Leaders ,2016,0.946347788,0.053652212
10,10X331,The Bronx School of Young Leaders ,2017,0.952916464,0.047083536
10,10X331,The Bronx School of Young Leaders ,2018,0.9482113,0.0517887
10,10X331,The Bronx School of Young Leaders ,2019,0.942205407,0.057781648
10,10X331,The Bronx School of Young Leaders ,2020,0.946588271,0.053372337
10,10X331,The Bronx School of Young Leaders ,2021,0.911022372,0.088939018
10,10X342,International School for Liberal Arts ,2016,0.937034359,0.062965641
10,10X342,International School for Liberal Arts ,2017,0.927434953,0.072565047
10,10X342,International School for Liberal Arts ,2018,0.918084862,0.081915138
10,10X342,International School for Liberal Arts ,2019,0.875837584,0.077424456
10,10X342,International School for Liberal Arts ,2020,0.887466161,0.08670853
10,10X342,International School for Liberal Arts ,2021,0.913531972,0.086468028
10,10X363,Academy For Personal Leadership And Excellence ,2016,0.927078944,0.072921056
10,10X363,Academy For Personal Leadership And Excellence ,2017,0.932152035,0.067847965
10,10X363,Academy For Personal Leadership And Excellence ,2018,0.92848938,0.07151062
10,10X363,Academy For Personal Leadership And Excellence ,2019,0.929377834,0.070592906
10,10X363,Academy For Personal Leadership And Excellence ,2020,0.918102815,0.081867808
10,10X363,Academy For Personal Leadership And Excellence ,2021,0.861774571,0.138225429
10,10X368,In-Tech Academy ,2016,0.932174912,0.067825088
10,10X368,In-Tech Academy ,2017,0.922721061,0.077278939
10,10X368,In-Tech Academy ,2018,0.917912691,0.082087309
10,10X368,In-Tech Academy ,2019,0.885879303,0.073735685
10,10X368,In-Tech Academy ,2020,0.911542132,0.06853516
10,10X368,In-Tech Academy ,2021,0.830714028,0.169285972
10,10X390,M.S. 390 ,2016,0.932816281,0.067183719
10,10X390,M.S. 390 ,2017,0.937945831,0.062054169
10,10X390,M.S. 390 ,2018,0.932360385,0.067639615
