,district,dbn,total enrollment,total funding,total federal funding,total city/state,per pupil funding
0,6,M018,395,10348498,1233754,9114745,26198.729
1,6,M052,411,11054627,1461937,9592689,26896.903
2,6,M143,361,10090008,1351202,8738806,27950.161
3,6,M187,802,15402465,1183433,14219032,19205.069
4,6,M209,165,4042690,136616,3906074,24501.152
5,6,M210,446,10662578,1291603,9370976,23907.126
6,6,M218,229,6996904,724050,6272854,30554.166
7,6,M223,274,6831328,349482,6481845,24931.854
8,6,M278,533,11201132,964524,10236608,21015.257
9,6,M293,609,11715144,665510,11049634,19236.69
10,6,M311,431,9123578,925810,8197768,21168.394
11,6,M319,534,13346260,1292801,12053460,24992.996
12,6,M322,319,8060104,957651,7102453,25266.784
13,6,M324,449,11116111,997587,10118524,24757.486
14,6,M328,148,5507626,603760,4903866,37213.689
15,6,M346,645,13774379,993247,12781132,21355.626
16,6,M348,760,15815351,1584125,14231226,20809.672
17,6,M349,137,3720077,301268,3418809,27153.847
18,6,M366,511,10793843,1465364,9328479,21122.98
19,6,M528,206,5582663,664423,4918240,27100.306
20,7,X005,760,17799409,2832497,14966912,23420.275
21,7,X029,758,18702607,3691324,15011283,24673.624
22,7,X031,747,17193219,2965140,14228080,23016.357
23,7,X151,255,7230753,844595,6386159,28355.894
24,20,K201,1474,25839634,2106746,23732887,17530.281
25,7,X221,654,14314332,1565280,12749052,21887.358
26,7,X223,595,12925321,1834463,11090858,21723.229
27,7,X224,367,8793094,1209757,7583338,23959.384
28,7,X296,336,9450158,1738935,7711223,28125.47
29,27,Q183,586,13983550,1719374,12264176,23862.713
30,7,X298,312,8256562,739291,7517272,26463.34
31,7,X343,304,7307581,917739,6389841,24038.095
32,7,X500,520,10504201,887012,9617189,20200.387
33,7,X551,600,13256435,990758,12265677,22094.058
34,20,K030,715,16071158,959113,15112045,22477.144
35,20,K062,1191,24995691,2711557,22284134,20987.146
36,20,K104,1236,25290072,1095637,24194435,20461.223
37,20,K163,629,13682893,1327549,12355344,21753.407
38,20,K180,1116,26939181,3717738,23221443,24139.051
39,20,K187,999,19369903,599465,18770439,19389.292
40,20,K192,687,16341745,2762436,13579309,23787.111
41,20,K220,1435,27461897,2716436,24745461,19137.21
42,21,K690,917,16975158,1302412,15672746,18511.623
43,20,K223,994,20735833,1911157,18824676,20860.999
44,20,K227,1276,25938282,2782817,23155465,20327.807
45,20,K229,1195,21696479,1422880,20273599,18156.049
46,20,K259,1617,28257341,2339998,25917343,17475.165
47,8,X269,588,14434369,1353427,13080942,24548.247
48,20,K609,529,10233847,798198,9435649,19345.647
49,20,K686,521,9757116,672516,9084600,18727.67
50,21,K095,932,21314128,2802673,18511455,22869.236
51,21,K096,641,16732923,2354566,14378357,26104.404
52,21,K098,1493,25463326,658599,24804727,17055.141
53,21,K099,883,16862715,2023644,14839071,19097.072
54,21,K121,356,11812258,1201828,10610430,33180.5
55,15,K448,679,15823841,1048898,14774943,23304.626
56,21,K209,707,18282559,2466138,15816421,25859.348
57,21,K225,1018,24809141,4602691,20206451,24370.472
58,21,K226,1006,24651084,3954776,20696308,24504.06
59,21,K228,1362,28208647,2943040,25265607,20711.195
60,21,K238,556,17802928,3970497,13832432,32019.655
61,21,K239,1340,26146820,487449,25659371,19512.552
62,21,K281,1160,22577653,2131129,20446523,19463.494
63,21,K288,601,13616597,2502302,11114295,22656.567
64,21,K303,499,10914104,898578,10015525,21871.952
65,21,K468,592,10933506,776316,10157191,18468.76
66,27,Q042,701,18706936,3295037,15411900,26686.071
67,27,Q043,981,24039653,4366964,19672689,24505.253
68,27,Q202,1065,20232874,1562388,18670486,18998.004
69,27,Q047,220,6871635,1016386,5855249,31234.705
70,27,Q053,317,9703019,907323,8795695,30608.893
71,27,Q309,624,12269776,711497,11558279,19663.103
72,27,Q105,890,20230243,2855242,17375001,22730.61
73,27,Q207,721,19006369,2270866,16735504,26361.122
74,27,Q114,640,15365639,1221548,14144091,24008.811
75,27,Q124,1289,22863782,1869438,20994344,17737.612
76,27,Q137,1887,34622741,2671984,31950757,18348.034
77,27,Q146,704,15970619,1109111,14861509,22685.538
78,27,Q210,1863,36336276,2659343,33676933,19504.174
79,27,Q226,928,19150611,1912168,17238443,20636.434
80,27,Q232,1049,20017542,1229232,18788310,19082.5
81,27,Q262,736,17295178,747045,16548133,23498.883
82,27,Q282,260,5131056,329683,4801373,19734.831
83,27,Q297,347,6996104,254964,6741140,20161.683
84,27,Q318,223,5669534,351180,5318354,25423.919
85,27,Q319,307,8053285,526968,7526317,26232.199
86,27,Q323,1304,19999860,293351,19706509,15337.316
87,27,Q333,524,10864376,1966122,8898254,20733.542
88,1,M034,394,10603455,1463986,9139469,26912.322
89,1,M140,376,10780851,1349997,9430855,28672.476
90,1,M184,663,13032917,1552887,11480030,19657.492
91,1,M188,489,12760139,2236873,10523266,26094.354
92,13,K691,241,6435467,439879,5995589,26703.183
93,1,M301,156,4455051,316156,4138894,28558.019
94,25,Q025,856,15942846,506404,15436442,18624.82
95,1,M332,110,3916330,628789,3287541,35603.0
96,1,M378,264,7448444,690528,6757915,28213.803
97,14,K318,1491,30621411,3042916,27578495,20537.499
98,1,M450,677,14968578,1160135,13808443,22110.16
99,1,M539,1753,27037955,1614157,25423798,15423.819
100,1,M839,371,8081011,565568,7515443,21781.701
101,13,K008,924,17163936,1474168,15689768,18575.688
102,15,K464,523,10811486,855295,9956191,20672.057
103,13,K113,414,11781552,1662596,10118956,28457.855
104,13,K265,427,10314368,1176072,9138296,24155.429
105,13,K266,130,4338973,385165,3953808,33376.715
106,13,K301,96,3804834,321501,3483333,39633.688
107,13,K313,77,3611175,287268,3323908,46898.377
108,13,K351,148,4539744,359411,4180333,30673.946
109,14,K071,622,20251356,3260656,16990700,32558.45
110,13,K492,515,9864863,264177,9600686,19155.074
111,13,K527,476,9668239,627622,9040617,20311.426
112,14,K050,198,8012539,1331446,6681093,40467.369
113,14,K084,749,18945330,2609100,16336230,25294.166
114,14,K126,372,11573368,1265830,10307538,31111.204
115,14,K157,495,12769946,1800185,10969761,25797.871
116,14,K577,506,10520356,833120,9687236,20791.217
117,14,K582,246,6163782,582995,5580786,25056.024
118,14,K586,535,11902781,1115664,10787118,22248.189
119,14,K614,375,8130544,440755,7689789,21681.451
120,24,Q560,623,13592323,658031,12934293,21817.533
121,24,Q005,1825,37950928,2684437,35266491,20795.029
122,24,Q049,1102,19543605,976445,18567160,17734.669
123,24,Q061,2158,43804340,3801024,40003316,20298.582
124,24,Q073,1975,36422671,2607450,33815221,18441.859
125,26,Q266,663,15520010,1215102,14304908,23408.763
126,24,Q077,1008,24302374,3613259,20689115,24109.498
127,24,Q087,593,15869867,1994569,13875297,26762.002
128,24,Q093,1150,22834165,1933843,20900323,19855.796
129,24,Q102,1314,24982897,2404761,22578137,19012.859
130,24,Q113,948,18089633,1014718,17074916,19081.891
131,24,Q119,1190,20096500,1172417,18924083,16887.815
132,24,Q125,1498,28074273,2452966,25621307,18741.17
133,24,Q128,948,18166692,1122102,17044590,19163.177
134,24,Q311,305,6800703,288460,6512243,22297.387
135,25,Q164,663,14753626,1535548,13218078,22252.83
136,25,Q185,1538,27028585,1632139,25396447,17573.852
137,25,Q189,701,14449932,1242024,13207908,20613.312
138,25,Q194,1108,20929458,600401,20329056,18889.403
139,25,Q200,488,11471126,1637153,9833972,23506.406
140,25,Q219,679,19123043,2226427,16896616,28163.539
141,25,Q237,1240,23916336,2339488,21576848,19287.368
142,25,Q250,379,8443453,744210,7699242,22278.24
143,25,Q252,553,11748112,383521,11364591,21244.325
144,25,Q281,681,13910465,787364,13123102,20426.527
145,25,Q285,597,11001256,271002,10730254,18427.564
146,25,Q294,367,7462803,236337,7226465,20334.613
147,31,R049,775,18516275,1504373,17011902,23891.968
148,25,Q499,485,10319091,843014,9476077,21276.476
149,31,R002,809,18658775,1266411,17392364,23063.999
150,31,R007,1190,26428494,958871,25469622,22208.818
151,31,R024,1290,33774067,1739592,32034475,26181.447
152,31,R027,1038,23691669,1830198,21861471,22824.344
153,31,R028,127,3633284,107559,3525724,28608.535
154,31,R034,1172,27411055,998087,26412968,23388.272
155,31,R048,948,19639494,1571543,18067950,20716.766
156,28,Q358,128,2878660,95602,2783059,22489.531
157,31,R051,1264,30720074,4054919,26665155,24303.856
158,31,R061,1118,25985406,2030562,23954844,23242.76
159,31,R063,443,9682493,344099,9338395,21856.643
160,31,R072,1319,32407509,3166029,29241479,24569.757
161,31,R075,1381,32889088,1335544,31553544,23815.415
162,31,R080,1330,32638304,2262293,30376011,24540.078
163,31,R861,893,20136096,1815686,18320410,22548.82
164,5,M046,773,16647670,2906918,13740752,21536.442
165,8,X467,249,6316203,428038,5888165,25366.277
166,5,M123,554,14586559,3332089,11254471,26329.529
167,5,M129,487,12602694,2229082,10373612,25878.222
168,5,M148,195,4857240,192927,4664313,24908.923
169,5,M161,888,21264137,2473370,18790767,23946.1
170,5,M286,154,4507290,422281,4085009,29268.117
171,5,M302,155,4160789,237932,3922857,26843.8
172,5,M362,667,12117285,213909,11903376,18166.844
173,5,M499,1409,26688806,1689768,24999038,18941.665
174,12,X190,239,6319422,509008,5810413,26441.096
175,5,M514,214,7063670,678977,6384693,33007.804
176,5,M670,549,12509415,716408,11793006,22785.82
177,12,X098,199,7248196,905582,6342614,36423.095
178,12,X129,543,13446947,1381777,12065169,24764.175
179,12,X211,630,16866886,3475819,13391068,26772.835
180,12,X212,454,11443535,2151608,9291927,25206.024
181,12,X214,1090,24124346,4186969,19937378,22132.428
182,12,X217,313,9587194,1394556,8192638,30630.013
183,12,X242,694,13820915,968165,12852750,19914.863
184,12,X267,564,12610721,1041187,11569534,22359.434
185,12,X271,665,17815839,1796291,16019548,26790.735
186,12,X273,270,6593164,426985,6166179,24419.126
187,2,M408,546,9777530,165626,9611904,17907.564
188,12,X286,267,6889620,645659,6243960,25803.82
189,12,X316,359,8062472,662357,7400115,22458.139
190,12,X318,295,7417679,968953,6448726,25144.675
191,12,X341,154,4830262,340183,4490079,31365.338
192,12,X372,576,12107771,973403,11134368,21020.436
193,12,X383,243,6823259,685873,6137387,28079.255
194,12,X384,254,7046169,660887,6385282,27740.823
195,16,K035,168,5573359,597357,4976002,33174.756
196,16,K057,169,6140123,732922,5407201,36332.089
197,16,K267,182,6168279,818783,5349496,33891.643
198,16,K308,361,11653466,2267757,9385709,32281.069
199,16,K681,173,4892587,233150,4659437,28280.85
200,17,K002,475,10170479,1091398,9079081,21411.535
201,17,K061,814,17071149,1858030,15213119,20971.928
202,17,K138,679,16644339,3763980,12880358,24513.018
203,17,K181,846,19631458,3376900,16254558,23205.033
204,17,K189,1044,20412792,2530607,17882185,19552.483
205,17,K246,476,13346468,1683135,11663332,28038.798
206,17,K340,203,5021171,664114,4357058,24734.833
207,17,K352,188,7026730,1236757,5789973,37376.223
208,17,K353,196,5065500,442804,4622695,25844.388
209,17,K354,202,6373892,1219406,5154486,31553.921
210,17,K382,451,9728005,840823,8887182,21569.856
211,17,K394,571,12643110,3082858,9560252,22142.049
212,17,K484,141,4448313,400809,4047504,31548.319
213,17,K543,526,9671373,999161,8672211,18386.641
214,17,K590,1247,20924002,1624846,19299157,16779.472
215,17,K722,261,8018323,890396,7127927,30721.544
216,26,Q067,907,15397114,582805,14814309,16975.87
217,26,Q074,1122,20336134,587983,19748151,18124.897
218,26,Q158,1072,18683547,660940,18022607,17428.682
219,26,Q172,988,18867872,898655,17969217,19097.036
220,26,Q178,564,10767192,1208654,9558538,19090.766
221,26,Q216,1398,22876640,664437,22212203,16363.834
222,2,M104,1113,19863872,899141,18964731,17847.145
223,2,M114,441,8311206,202768,8108438,18846.272
224,2,M126,759,17168644,2991958,14176686,22620.084
225,2,M131,420,11104395,1552862,9551533,26439.036
226,2,M167,1343,23819120,1298096,22521023,17735.756
227,2,M177,142,3218819,40864,3177955,22667.739
228,2,M217,587,10984554,1254539,9730016,18713.039
229,2,M225,335,7737901,1447853,6290049,23098.212
230,2,M255,374,6265123,124131,6140992,16751.666
231,2,M260,376,7279015,277582,7001433,19359.082
232,2,M276,872,16811775,922249,15889526,19279.558
233,2,M289,289,5925583,142249,5783334,20503.747
234,2,M312,551,10200019,168887,10031131,18511.831
235,2,M347,189,12136527,1815754,10320774,64214.429
236,2,M397,443,9797748,941198,8856550,22116.813
237,2,M407,484,7318754,196194,7122560,15121.393
238,2,M413,747,13855252,526446,13328806,18547.861
239,2,M422,662,14006744,379698,13627046,21158.224
240,2,M442,152,3824619,40110,3784509,25161.967
241,2,M655,616,12878479,954949,11923530,20906.622
242,2,M896,388,11662818,488543,11174275,30058.809
243,2,M933,157,5696693,56128,5640564,36284.669
244,11,X019,518,10884484,1012593,9871890,21012.517
245,11,X083,1721,34912103,3163614,31748489,20285.94
246,11,X089,1484,30855012,4426899,26428114,20791.787
247,11,X127,751,15950678,2059835,13890843,21239.252
248,11,X144,486,12777550,1495802,11281748,26291.255
249,11,X175,327,7116817,297432,6819385,21763.966
250,11,X180,877,20971460,1343242,19628218,23912.725
251,11,X181,873,20216087,1660486,18555601,23157.03
252,11,X194,1363,27075929,3615553,23460375,19864.952
253,11,X287,248,6256001,681661,5574340,25225.81
254,11,X326,387,8620883,959403,7661479,22276.183
255,11,X566,458,10309256,562214,9747042,22509.293
256,11,X355,339,8092240,1099121,6993119,23870.914
257,11,X370,232,7349578,1346757,6002822,31679.216
258,11,X462,251,5915498,576206,5339292,23567.721
259,11,X468,352,7801355,638522,7162833,22162.94
260,19,K089,458,12516256,1295475,11220781,27328.07
261,11,X498,626,13710222,780378,12929843,21901.313
262,11,X529,324,9286308,377403,8908905,28661.444
263,11,X532,299,7162212,391352,6770860,23953.886
264,11,X556,398,9062832,648481,8414350,22770.935
265,19,K171,547,13182767,1691887,11490880,24100.122
266,19,K218,419,11513215,1632779,9880437,27477.84
267,19,K292,623,14956564,2054240,12902325,24007.326
268,19,K364,313,9219514,713508,8506006,29455.316
269,5,M517,266,6096423,500843,5595580,22918.883
270,19,K404,570,12682296,1169949,11512347,22249.642
271,19,K409,491,10606945,699377,9907568,21602.739
272,19,K422,312,7422611,545976,6876635,23790.42
273,19,K452,308,7082574,571958,6510616,22995.37
274,19,K654,302,7161309,530325,6630984,23712.944
275,19,K661,342,7994259,897834,7096425,23375.026
276,19,K662,431,9928395,1171040,8757355,23035.719
277,19,K663,157,3983085,212690,3770395,25369.968
278,19,K678,260,6667740,430998,6236742,25645.154
279,19,K760,203,4523437,286543,4236894,22282.941
280,22,K014,548,15786307,1845839,13940468,28807.13
281,22,K078,638,16055961,1746261,14309700,25166.083
282,22,K109,695,18475695,2980977,15494719,26583.734
283,22,K206,1425,26950011,3168589,23781422,18912.288
284,22,K207,1272,25775656,1982738,23792918,20263.881
285,22,K234,1988,33140391,1291611,31848780,16670.217
286,22,K240,828,17484021,1611455,15872566,21115.967
287,22,K278,922,22361879,2136102,20225778,24253.665
288,22,K381,310,7918358,573051,7345307,25543.09
289,30,Q010,790,15998744,1516460,14482285,20251.575
290,30,Q078,583,11402808,1133475,10269333,19558.847
291,30,Q111,285,11110970,2205582,8905388,38985.86
292,30,Q122,1385,24244266,1945768,22298498,17504.885
293,30,Q126,581,13094760,1108901,11985859,22538.313
294,30,Q127,1335,27610130,3595630,24014500,20681.745
295,30,Q141,1161,20276205,1349929,18926275,17464.432
296,30,Q145,1925,38812866,3848692,34964174,20162.528
297,30,Q204,495,11704052,1274618,10429433,23644.549
298,30,Q227,1572,33585672,2153463,31432209,21364.931
299,30,Q230,1198,22133395,1439427,20693967,18475.288
300,30,Q286,561,11059038,550445,10508593,19713.08
301,30,Q291,374,8769678,525952,8243726,23448.337
302,30,Q300,236,4395244,153848,4241397,18623.915
303,3,M054,850,15450189,1013307,14436883,18176.693
304,3,M076,503,11962806,2080982,9881824,23782.915
305,3,M149,285,9316630,1674275,7642355,32689.93
306,3,M165,775,16774205,1974489,14799716,21644.135
307,3,M250,181,4799078,355923,4443155,26514.243
308,3,M180,595,13525436,2533408,10992028,22731.825
309,3,M191,453,12965172,2088027,10877145,28620.689
310,3,M243,236,4619326,80355,4538971,19573.415
311,3,M245,405,7862922,339888,7523034,19414.622
312,3,M247,195,4722580,281819,4440761,24218.359
313,3,M256,138,4113450,319346,3794104,29807.609
314,3,M258,235,6302337,640564,5661773,26818.455
315,3,M291,136,8104006,104592,7999414,59588.279
316,3,M333,742,17065347,1254276,15811071,22999.12
317,3,M334,559,10103097,926081,9177016,18073.519
318,3,M415,377,10912594,952087,9960507,28945.873
319,3,M421,190,5238404,366197,4872206,27570.547
320,3,M859,277,5914956,122910,5792046,21353.632
321,3,M860,390,9028888,861765,8167123,23150.995
322,3,M862,345,6154754,105248,6049506,17839.867
323,9,X004,599,14955652,2113654,12841998,24967.699
324,9,X022,425,13017559,1869885,11147674,30629.551
325,9,X117,575,16803134,2209134,14594000,29222.842
326,9,X128,371,7121016,523786,6597230,19194.113
327,9,X215,269,5676693,384283,5292410,21102.948
328,9,X218,1005,22198279,2722380,19475900,22087.84
329,9,X219,331,10280961,1612058,8668904,31060.305
330,9,X229,266,9275743,758551,8517192,34871.214
331,9,X231,568,12814020,904699,11909321,22559.894
332,9,X232,511,11539557,1232114,10307443,22582.303
333,9,X241,622,14384351,1864966,12519385,23125.966
334,9,X303,319,8001256,861668,7139588,25082.307
335,9,X313,309,9628679,1485157,8143523,31160.773
336,9,X323,464,11023802,1293986,9729816,23758.194
337,9,X324,504,10224556,955092,9269465,20286.817
338,10,X279,1083,24606319,3101143,21505176,22720.516
339,9,X325,301,8271226,869989,7401237,27479.156
340,9,X327,737,15155219,1011219,14144000,20563.391
341,9,X328,187,5365487,813466,4552021,28692.444
342,9,X339,514,16115249,1776107,14339143,31352.625
343,23,K137,295,9216349,1382395,7833954,31241.861
344,9,X350,233,7584088,1120308,6463780,32549.734
345,9,X361,390,10131101,1127816,9003286,25977.182
346,9,X413,423,9785347,548561,9236787,23133.208
347,9,X454,432,9595254,570780,9024475,22211.236
348,29,Q059,548,11225228,653295,10571933,20483.993
349,9,X505,772,16264820,1254170,15010650,21068.42
350,9,X568,329,7319713,455821,6863892,22248.368
351,10,X003,344,10187876,2147166,8040710,29615.919
352,10,X015,497,11421890,1696548,9725343,22981.67
353,10,X020,1104,26037049,3993465,22043584,23584.284
354,10,X037,646,16599350,1921777,14677573,25695.588
355,10,X045,730,16364790,2270138,14094652,22417.521
356,10,X080,636,17663846,1667447,15996399,27773.343
357,10,X095,1309,28415250,3590020,24825230,21707.601
358,10,X118,1156,24451762,2457874,21993888,21152.043
359,10,X141,1419,26984740,1257347,25727393,19016.73
360,10,X206,237,7315930,890231,6425698,30868.903
361,10,X225,630,13614388,964508,12649880,21610.14
362,32,K291,349,11154181,2239787,8914394,31960.404
363,10,X228,264,8413442,503964,7909478,31869.098
364,10,X243,586,13150561,1330576,11819986,22441.23
365,10,X244,772,17096005,1559921,15536084,22145.084
366,10,X254,473,12586791,1107915,11478877,26610.552
367,10,X280,894,18129097,2419791,15709306,20278.632
368,10,X308,277,7418287,374880,7043408,26780.819
369,10,X315,280,6959353,919219,6040134,24854.832
370,10,X331,402,10659022,1148685,9510337,26514.98
371,23,K323,443,10404625,1883120,8521506,23486.738
372,10,X342,548,11662584,1239993,10422591,21282.088
373,10,X363,455,14615378,927740,13687638,32121.71
374,10,X368,966,21014431,2347072,18667359,21754.069
375,10,X390,457,11238979,1028794,10210186,24592.952
376,32,K384,641,15986892,2967023,13019868,24940.549
377,10,X391,516,15197701,1352505,13845197,29452.909
378,10,X447,477,12228204,1456547,10771657,25635.648
379,10,X459,323,8472523,582430,7890093,26230.721
380,23,K041,499,13259774,1858649,11401125,26572.693
381,23,K155,499,12451126,2506585,9944541,24952.156
382,23,K178,364,10090167,2219530,7870637,27720.239
383,23,K184,504,13208452,2673446,10535007,26207.246
384,23,K284,535,13676042,2016987,11659055,25562.695
385,23,K363,97,3108781,177010,2931770,32049.289
386,23,K392,258,6139754,526132,5613622,23797.496
387,23,K518,192,5001108,783323,4217784,26047.438
388,23,K522,182,4862408,400690,4461718,26716.527
389,4,M050,288,9941730,1652320,8289409,34519.896
390,23,K644,591,13125767,912252,12213515,22209.42
391,23,K664,113,3302326,174968,3127358,29224.124
392,23,K668,126,3731466,656072,3075394,29614.81
393,23,K671,207,5403015,436001,4967014,26101.522
394,29,Q109,964,18513127,1203070,17310058,19204.489
395,29,Q116,756,17277695,2709466,14568229,22854.094
396,29,Q138,790,17504297,3081635,14422662,22157.338
397,29,Q147,630,13812788,2152812,11659977,21925.06
398,29,Q192,508,11000814,854083,10146731,21655.146
399,29,Q208,727,16383846,1155620,15228226,22536.239
400,29,Q238,1498,29143528,2651882,26491646,19454.959
401,29,Q259,579,11109975,859452,10250523,19188.212
402,29,Q268,580,12370074,1064938,11305137,21327.714
403,29,Q270,678,14208612,1038691,13169921,20956.655
404,29,Q283,578,11181914,819219,10362695,19345.872
405,29,Q289,240,4968505,142160,4826345,20702.104
406,29,Q295,548,11770621,1036126,10734494,21479.235
407,29,Q327,493,11568301,187236,11381065,23465.114
408,29,Q355,395,9168041,515176,8652865,23210.23
409,29,Q356,377,9041777,370113,8671664,23983.493
410,32,K045,779,17728107,3399844,14328264,22757.519
411,32,K162,471,11903983,1399719,10504264,25273.849
412,32,K347,303,9215596,1321408,7894188,30414.508
413,32,K349,304,9057825,1201365,7856460,29795.477
414,32,K377,447,13287672,2530399,10757274,29726.336
415,32,K383,951,18481313,1334084,17147229,19433.557
416,32,K554,385,7394959,566384,6828575,19207.686
417,15,K497,486,10740353,1098660,9641693,22099.492
418,32,K562,297,8713335,1193511,7519824,29337.828
419,4,M007,372,9377863,1601942,7775921,25209.309
420,4,M012,561,9679814,302779,9377034,17254.57
421,4,M057,851,19136746,2688481,16448264,22487.363
422,4,M072,638,14233940,2383606,11850333,22310.251
423,4,M096,458,12056156,1673187,10382969,26323.485
424,4,M108,594,13724361,2138661,11585700,23104.985
425,4,M171,734,15035457,2113731,12921726,20484.274
426,4,M206,484,16700591,1228766,15471825,34505.353
427,4,M224,166,4089937,160083,3929855,24638.175
428,4,M372,574,15204194,970972,14233222,26488.143
429,4,M377,163,5042226,384910,4657316,30933.902
430,4,M406,156,4748423,318298,4430125,30438.609
431,4,M610,491,10226089,466141,9759948,20827.065
432,4,M825,233,6167211,722090,5445121,26468.717
433,4,M964,346,9097283,938616,8158667,26292.725
434,8,X131,539,13762041,1851177,11910865,25532.544
435,8,X071,1697,34828041,3995236,30832805,20523.301
436,8,X101,496,10611510,300341,10311168,21394.173
437,8,X123,343,10160595,1364379,8796216,29622.726
438,8,X125,373,9063271,1111596,7951675,24298.314
439,8,X301,202,6465265,950456,5514810,32006.262
440,8,X302,501,12585121,2124190,10460931,25120.002
441,8,X337,475,10784454,839798,9944656,22704.114
442,8,X367,680,15173898,1359982,13813916,22314.556
443,8,X371,288,7466405,810550,6655855,25925.017
444,8,X375,251,7301053,687046,6614006,29087.861
445,8,X376,415,9903794,814946,9088847,23864.564
446,15,K447,525,13400886,262371,13138515,25525.497
447,8,X424,316,10087101,2008775,8078326,31921.206
448,8,X448,362,9161896,758866,8403030,25309.105
449,8,X562,301,6813837,303602,6510235,22637.332
450,15,K051,1128,20463408,736703,19726705,18141.319
451,15,K088,1267,29712089,2634414,27077675,23450.741
452,15,K136,495,13115696,1147237,11968458,26496.356
453,15,K442,217,7187791,549411,6638379,33123.461
454,15,K443,541,10512621,309904,10202717,19431.832
455,15,K821,515,11355219,936976,10418243,22048.969
456,15,K839,106,2594412,93938,2500474,24475.585
457,18,K066,819,15425992,1598076,13827917,18835.155
458,18,K068,464,13191253,1771067,11420186,28429.425
459,18,K581,129,5078528,1133870,3944658,39368.434
460,18,K211,590,15601741,1508942,14092799,26443.629
461,18,K235,1274,23680775,2983104,20697671,18587.735
462,18,K285,704,15841650,1748782,14092868,22502.344
463,18,K366,498,11584245,808087,10776158,23261.536
464,18,K588,218,6098171,702536,5395635,27973.261
465,18,K598,180,4935062,332634,4602428,27417.011
466,18,K763,149,3836799,183892,3652907,25750.329
467,28,Q008,370,10923860,1405137,9518723,29523.946
468,28,Q072,605,14703987,1194580,13509407,24304.111
469,28,Q157,1608,29467121,1001411,28465710,18325.324
470,28,Q167,829,15872033,256113,15615921,19145.999
471,28,Q190,1057,19347523,762234,18585288,18304.184
472,28,Q217,1572,29828459,2397881,27430578,18974.847
473,28,Q284,621,10580421,422257,10158164,17037.715
474,28,Q287,322,7404238,270129,7134109,22994.528
475,28,Q310,655,13083067,577122,12505945,19974.148
476,28,Q332,202,4722530,148045,4574485,23378.861
477,28,Q680,726,13935347,231057,13704291,19194.693
478,28,Q896,552,10020159,445769,9574390,18152.462
479,30,Q235,150,4149312,367242,3782069,27662.08
